37	INNERCI0001	Inner City Bikes	3	1	1		2002-02-25 00:00:00.000
38	ALLENSON0001	Allenson Cycles	2	1	1		2001-05-26 00:00:00.000
39	HILLSBI0001	Hill's Bicycle Service	1	1	1		2002-02-25 00:00:00.000
40	WESTJUN0001	West Junction Cycles	1	1	1		2002-03-21 00:00:00.000
41	SPEEDCO0001	Speed Corporation	1	1	1		2002-03-05 00:00:00.000
42	LEGENDC0001	Legend Cycles	1	1	1		2002-03-05 00:00:00.000
43	INLINEA0001	Inline Accessories	1	1	1		2002-02-25 00:00:00.000
44	COMPETIT0001	Competition Bike Training Systems	1	1	1		2002-01-24 00:00:00.000
45	CHICAGO0001	Chicago City Saddles	1	1	1		2002-01-24 00:00:00.000
46	BURNETT0001	Burnett Road Warriors	1	1	1		2002-01-23 00:00:00.000
47	BIKESAT0001	Bike Satellite Inc.	1	0	1		2002-01-23 00:00:00.000
48	GARDNER0001	Gardner Touring Cycles	1	0	0		2002-02-25 00:00:00.000
49	MAGICCY0001	Magic Cycles	1	1	1		2002-02-25 00:00:00.000
50	VISIONC0001	Vision Cycles, Inc.	1	0	1		2002-03-21 00:00:00.000
51	BERGERON0001	Bergeron Off-Roads	1	1	1		2002-01-23 00:00:00.000
52	HYBRIDB0001	Hybrid Bicycle Center	1	1	1		2002-02-25 00:00:00.000
53	JACKSON0001	Jackson Authority	1	1	1		2002-02-25 00:00:00.000
54	PROSPOR0001	Pro Sport Industries	1	0	1		2002-03-05 00:00:00.000
55	SPORTFA0001	Sport Fan Co.	1	1	1		2002-03-05 00:00:00.000
56	INTERNAT0002	International Bicycles	1	1	1		2002-02-25 00:00:00.000
57	WOODFIT0001	Wood Fitness	1	1	1		2002-03-21 00:00:00.000
58	MIDWEST0001	Midwest Sport, Inc.	1	1	1		2002-03-05 00:00:00.000
59	ELECTRON0001	Electronic Bike Co.	1	1	1		2002-03-05 00:00:00.000
60	INTERNAT0003	International Sport Assoc.	1	1	1		2002-02-25 00:00:00.000
61	LINDELL0001	Lindell	1	1	1		2002-03-01 00:00:00.000
62	TRAINING0001	Training Systems	1	1	1		2002-03-06 00:00:00.000
63	MERITBI0001	Merit Bikes	5	1	1		2002-03-06 00:00:00.000
64	CIRCUIT0001	Circuit Cycles	1	0	0		2002-01-24 00:00:00.000
65	INTERNAT0004	International Trek Center	1	1	1		2002-01-24 00:00:00.000
66	LAKEWOOD0001	Lakewood Bicycle	1	1	1		2002-03-01 00:00:00.000
67	KNOPFLER0001	Knopfler Cycles	1	1	1		2002-03-01 00:00:00.000
68	LEAFRIV0001	Leaf River Terrain	1	0	1		2002-03-01 00:00:00.000
69	NATIONAL0001	National Bike Association	1	1	1		2002-03-05 00:00:00.000
70	SPORTPL0001	Sport Playground	1	1	1		2002-03-05 00:00:00.000
71	VISTARO0001	Vista Road Bikes	3	1	1		2002-03-21 00:00:00.000
72	VARSITY0001	Varsity Sport Co.	1	1	1		2002-03-21 00:00:00.000
73	CROWLEY0001	Crowley Sport	1	1	1		2002-01-24 00:00:00.000
74	AUSTRALI0001	Australia Bike Retailer	1	1	1		2002-01-23 00:00:00.000
75	NORTHERN0001	Northern Bike Travel	3	1	1		2002-03-05 00:00:00.000
76	CRUGERB0001	Cruger Bike Company	1	1	1		2002-02-17 00:00:00.000
77	CUSTOMF0001	Custom Frames, Inc.	2	1	1		2002-02-17 00:00:00.000
78	AURORAB0001	Aurora Bike Center	1	1	1		2001-06-09 00:00:00.000
79	GMASKI0001	GMA Ski & Bike	1	1	1		2001-06-09 00:00:00.000
80	BICYCLE0001	Bicycle Specialists	1	1	1		2002-01-23 00:00:00.000
81	BLOOMING0001	Bloomington Multisport	1	1	1		2002-01-23 00:00:00.000
82	ILLINOIS0001	Illinois Trek & Clothing	1	1	1		2002-01-23 00:00:00.000
83	LITWARE0001	Litware, Inc.	1	1	1	www.litwareinc.com/	2001-05-26 00:00:00.000
84	PROSE0001	Proseware, Inc.	4	0	0	www.proseware.com/	2001-06-09 00:00:00.000
85	AMERICAN0001	American Bicycles and Wheels	1	1	1		2001-05-26 00:00:00.000
86	CARLSON0001	Carlson Specialties	2	1	1		2002-01-24 00:00:00.000
87	EXPERTB0001	Expert Bike Co	1	1	1		2002-02-25 00:00:00.000
88	GREENWOO0001	Greenwood Athletic Company	1	1	1		2002-02-25 00:00:00.000
89	SPORTSH0001	Sports House	1	1	1		2002-02-25 00:00:00.000
90	RELIANCE0001	Reliance Fitness, Inc.	2	0	0		2002-03-05 00:00:00.000
91	WESTAMER0001	WestAmerica Bicycle Co.	1	0	1		2002-03-21 00:00:00.000
92	AMERICAN0002	American Bikes	1	1	1		2001-06-09 00:00:00.000
93	CHICAGO0002	Chicago Rent-All	2	1	1		2002-01-24 00:00:00.000
94	SUPERIOR0001	Superior Bicycles	1	1	1		2002-03-06 00:00:00.000
95	TEAMATH0001	Team Athletic Co.	1	1	1		2002-03-06 00:00:00.000
96	HILLBIC0001	Hill Bicycle Center	1	1	1		2002-02-25 00:00:00.000
97	NORTHW0001	Northwind Traders	1	1	1	www.northwindtraders.com/	2002-02-25 00:00:00.000
98	TRIKES0001	Trikes, Inc.	2	1	1		2002-03-06 00:00:00.000
99	MARSH0001	Marsh	1	1	1		2002-03-06 00:00:00.000
100	HOLIDAY0001	Holiday Skate & Cycle	1	1	1		2002-03-06 00:00:00.000
101	TOURING0001	Touring Equipment Center	1	1	1		2002-03-06 00:00:00.000
102	FITNESS0001	Fitness Association	1	1	1		2002-03-06 00:00:00.000
103	MORGANB0001	Morgan Bike Accessories	1	1	1		2002-03-05 00:00:00.000
104	PROFESSI0001	Professional Athletic Consultants	1	1	1		2002-03-05 00:00:00.000
